initial_weight,weight,none-anonymity,mean,mean-min,max-mean,median,median-min,max-median
11,1,0,14.035254495504505,12.035254495504505,21.964745504495497,12.0,10.0,24.0
11,1,0,14.369998876123868,11.869998876123868,23.630001123876134,12.0,9.5,26.0
11,1,0,14.705568417693412,12.705568417693412,33.294431582306586,12.0,10.0,36.0
11,1,0,14.414470806970808,12.547804140304141,28.585529193029192,11.0,9.133333333333333,32.0
11,1,0,14.478458957708956,12.345125624375623,38.52154104229105,12.0,9.866666666666667,41.0
11,1,0,14.522360944610943,12.43902761127761,28.477639055389055,11.5,9.416666666666666,31.5
11,1,0,14.483843337218339,12.626700480075481,31.51615666278166,12.0,10.142857142857142,34.0
11,1,0,14.48005724830725,12.48005724830725,34.51994275169275,11.0,9.0,38.0
11,1,0,14.155497516372519,11.584068944943947,34.84450248362748,13.0,10.428571428571429,36.0
11,1,0,14.187435495060503,12.369253676878685,32.812564504939495,12.0,10.181818181818182,35.0
11,1,0,14.459551795426796,11.888123223998225,35.5404482045732,12.5,9.928571428571429,37.5
11,1,0,14.551544802419803,12.301544802419803,32.448455197580195,13.0,10.75,34.0
11,1,0,14.599182026307027,12.599182026307027,30.400817973692973,11.75,9.75,33.25
11,1,0,14.2770568043068,12.388167915417911,34.7229431956932,12.0,10.11111111111111,37.0
11,1,0,14.64590372127872,12.945903721278722,35.35409627872128,13.0,11.3,37.0
11,1,0,14.258400932400932,11.829829503829503,22.74159906759907,12.0,9.571428571428571,25.0
11,1,0,14.137990134865142,11.83799013486514,31.86200986513486,12.333333333333334,10.033333333333335,33.666666666666664
11,1,0,14.045716269841268,11.863898088023086,31.954283730158732,12.0,9.818181818181818,34.0
11,1,0,14.418188838938839,11.918188838938839,42.58181116106116,12.0,9.5,45.0
11,1,0,14.565408369408376,13.208265512265518,43.434591630591626,12.5,11.142857142857142,45.5
11,1,0,14.422744671994677,12.322744671994677,29.57725532800532,12.5,10.4,31.5
11,1,0,14.043362026862019,12.310028693528686,25.95663797313798,12.5,10.766666666666666,27.5
11,1,0,14.758297105672112,12.758297105672112,26.241702894327886,12.5,10.5,28.5
11,1,0,13.95139921189922,12.084732545232553,28.048600788100778,12.0,10.133333333333333,30.0
11,1,0,14.51570497557997,12.01570497557997,25.484295024420028,13.5,11.0,26.5
11,1,0,14.204506562881566,12.204506562881566,33.79549343711844,11.333333333333334,9.333333333333334,36.666666666666664
11,1,0,14.2637140914641,11.997047424797433,28.736285908535898,11.5,9.233333333333334,31.5
11,1,0,14.025459706959715,12.025459706959715,29.974540293040285,12.0,10.0,32.0
11,1,0,14.366329767454767,12.366329767454767,27.633670232545235,13.0,11.0,29.0
11,1,0,14.591468129093132,12.524801462426465,32.40853187090687,13.0,10.933333333333334,34.0
11,1,0,14.094515762015762,11.961182428682429,22.90548423798424,12.5,10.366666666666667,24.5
11,1,0,14.383261641136642,12.526118783993784,26.61673835886336,13.0,11.142857142857142,28.0
11,1,0,14.253074800199798,12.253074800199798,29.746925199800202,14.0,12.0,30.0
11,1,0,14.330637348762355,12.176791194916202,29.669362651237645,12.0,9.846153846153847,32.0
11,1,0,14.69550328837829,12.849349442224444,41.30449671162171,12.0,10.153846153846153,44.0
11,1,0,14.614857503607507,12.864857503607507,24.385142496392493,12.0,10.25,27.0
11,1,0,14.754632381507372,13.040346667221659,30.24536761849263,12.0,10.285714285714286,33.0
11,1,0,14.29335739260739,12.29335739260739,27.70664260739261,13.333333333333334,11.333333333333334,28.666666666666664
11,1,0,14.532881895881895,12.532881895881895,31.467118104118107,11.5,9.5,34.5
11,1,0,14.25396672771673,11.85396672771673,32.74603327228327,12.0,9.6,35.0
11,1,0,14.696514929514922,12.982229215229209,33.30348507048508,12.0,10.285714285714286,36.0
11,1,0,13.927960914085919,12.004883991008995,29.07203908591408,11.333333333333334,9.41025641025641,31.666666666666664
11,1,0,14.020651737151743,11.734937451437457,22.979348262848255,12.5,10.214285714285715,24.5
11,1,0,14.514014943389945,12.180681610056611,31.485985056610055,12.0,9.666666666666666,34.0
11,1,0,14.717642468642474,12.584309135309141,33.282357531357526,11.333333333333334,9.200000000000001,36.666666666666664
11,1,0,14.853099456099457,12.9959565989566,25.146900543900543,13.0,11.142857142857142,27.0
11,1,0,14.300227994227985,12.300227994227985,29.699772005772015,12.0,10.0,32.0
11,1,0,14.043606906981909,11.843606906981908,29.956393093018093,12.0,9.8,32.0
11,1,0,14.364526279276282,11.831192945942949,28.635473720723716,13.0,10.466666666666667,30.0
11,1,0,13.991150543900547,11.616150543900547,26.008849456099455,12.0,9.625,28.0
11,1,0,14.232377109002107,12.010154886779883,28.76762289099789,11.25,9.027777777777779,31.75
11,1,0,14.581172244422243,12.381172244422242,36.41882775557776,12.0,9.8,39.0
11,1,0,13.817548715173718,11.174691572316576,30.182451284826282,12.0,9.357142857142858,32.0
11,1,0,14.057278457653457,11.59061179098679,26.942721542346543,12.0,9.533333333333333,29.0
11,1,0,14.23960160672661,11.931909299034302,27.76039839327339,12.0,9.692307692307693,30.0
11,1,0,14.542781232656239,12.899924089799097,32.45721876734376,12.5,10.857142857142858,34.5
11,1,0,14.342691225441227,12.092691225441227,28.65730877455877,12.0,9.75,31.0
11,1,0,14.043910880785875,11.843910880785874,34.95608911921413,12.0,9.8,37.0
11,1,0,14.37821969696969,12.62821969696969,34.621780303030306,12.0,10.25,37.0
11,1,0,14.43962745587746,12.23962745587746,27.56037254412254,13.0,10.8,29.0
11,1,0,14.506551337551342,12.660397491397495,28.493448662448657,12.0,10.153846153846153,31.0
11,1,0,14.423790570540561,12.007123903873895,35.57620942945944,12.0,9.583333333333334,38.0
11,1,0,14.423470307470303,13.006803640803637,28.576529692529697,13.0,11.583333333333334,30.0
