seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
50,174,1,0,14.800978285603286,13.0,8.205139108669119,2.142857142857143,35.0,32.857142857142854,24.0,5.4,2.7,3.2
100,174,1,0,14.918761238761238,14.5,8.123801598401588,2.2857142857142856,36.0,33.714285714285715,20.0,5.6,2.7,2.466666666666667
0,174,1,0,14.9530477994228,13.5,8.219135068542567,2.230769230769231,38.0,35.76923076923077,28.0,5.8,3.6,2.3333333333333335
150,174,1,0,15.04058737096238,13.0,8.528877239843496,2.3,35.0,32.7,24.0,5.8,2.3,3.066666666666667
51,174,1,0,14.834763347763342,14.0,8.05527955266955,2.2666666666666666,37.0,34.733333333333334,22.0,5.6,2.9,2.2666666666666666
101,174,1,0,14.74163533688533,14.0,7.8228627833277855,2.076923076923077,37.0,34.92307692307692,22.0,4.0,3.0,3.066666666666667
1,174,1,0,14.796273212898216,13.5,7.984465912004668,2.1666666666666665,39.0,36.833333333333336,15.0,8.4,3.9,2.6666666666666665
151,174,1,0,14.742076714951715,14.0,7.740185586496836,2.2142857142857144,41.0,38.785714285714285,26.0,6.8,3.6,2.3333333333333335
2,174,1,0,14.992800782550782,14.0,8.276695272227775,2.0714285714285716,38.0,35.92857142857143,33.0,8.2,2.6,2.533333333333333
152,174,1,0,14.920438727938723,14.0,8.263196370296363,2.230769230769231,39.0,36.76923076923077,26.0,6.2,3.0,2.8
52,174,1,0,14.892495532245526,12.5,8.279979155011649,2.1333333333333333,37.0,34.86666666666667,20.0,5.6,4.2,2.466666666666667
102,174,1,0,14.828385808635808,14.0,7.9528850560550595,2.2142857142857144,34.0,31.785714285714285,30.0,3.2,3.1,2.466666666666667
3,174,1,0,14.795994144744139,14.0,7.846765503940494,2.2,36.0,33.8,29.0,5.0,3.0,2.2
153,174,1,0,15.02261227661228,14.0,8.503744459984468,2.111111111111111,37.0,34.888888888888886,28.0,4.8,4.0,2.533333333333333
53,174,1,0,14.764463980463972,12.5,8.207271697191691,2.3076923076923075,35.0,32.69230769230769,28.0,6.6,4.5,2.466666666666667
103,174,1,0,14.867475663225663,13.0,8.136922389832385,2.2857142857142856,35.0,32.714285714285715,29.0,6.0,3.2,2.7333333333333334
4,174,1,0,14.904125735375729,13.5,8.148204323454335,2.1333333333333333,35.0,32.86666666666667,28.0,4.8,3.5,2.1333333333333333
154,174,1,0,14.898106129981125,13.0,8.167723421717183,2.4,34.0,31.6,23.0,5.4,3.9,2.4
104,174,1,0,14.90812497224998,13.5,8.271362526085012,2.357142857142857,37.0,34.642857142857146,22.0,3.6,2.8,2.8
54,174,1,0,14.716682858807864,13.0,7.893484941308689,2.466666666666667,38.0,35.53333333333333,19.0,4.4,3.5,2.6666666666666665
5,174,1,0,14.983610542235537,13.0,8.42442272283272,2.3333333333333335,41.0,38.666666666666664,28.0,6.4,2.5,3.0
155,174,1,0,14.717632631257631,13.0,7.976954305555556,2.4166666666666665,40.0,37.583333333333336,24.0,6.8,3.5,2.8666666666666667
105,174,1,0,14.891661241536237,13.0,8.34858827020202,2.357142857142857,35.0,32.642857142857146,23.0,5.6,3.7,2.6
55,174,1,0,14.84332215007215,13.5,8.08384395743147,1.9333333333333333,36.0,34.06666666666667,29.0,5.2,3.0,1.9333333333333333
6,174,1,0,15.098630314130302,13.0,8.57623271728272,2.25,35.0,32.75,32.0,6.8,3.6,3.066666666666667
