initial_weight,weight,none-anonymity,mean-min,max-mean,median-min,max-median
177,2,0,12.202607350982355,19.297392649017645,10.5,21.0
177,2,0,12.537721653346653,26.03370691808192,11.071428571428571,27.5
177,2,0,12.623500693750692,21.243165972915975,11.366666666666667,22.5
177,2,0,12.758337024087018,20.17023440448441,11.428571428571429,21.5
177,2,0,13.052076479076478,27.081256854256857,11.133333333333333,29.0
177,2,0,12.813733807858808,22.913538919413917,10.727272727272727,25.0
177,2,0,13.28442615717615,23.929859557109566,11.214285714285714,26.0
177,2,0,12.65484412809413,21.191309718059717,10.846153846153847,23.0
177,2,0,12.592670246420248,21.13460248085248,10.727272727272727,23.0
177,2,0,12.790797965922968,28.28612511100011,11.076923076923077,30.0
177,2,0,12.495284632034629,24.27394613719614,10.76923076923077,26.0
177,2,0,12.784160672660672,29.01583932733933,11.3,30.5
177,2,0,13.036437590187589,22.046895743145747,11.083333333333334,24.0
177,2,0,12.465525571650574,19.134474428349428,10.1,21.5
177,2,0,12.857868534243527,20.14213146575647,12.0,21.0
177,2,0,12.676572385947392,19.056760947385943,10.733333333333334,21.0
177,2,0,12.136664724164719,23.363335275835283,10.5,25.0
177,2,0,12.269659673659678,23.33034032634032,11.1,24.5
177,2,0,12.983050810300806,24.950282523032527,11.933333333333334,26.0
177,2,0,12.851542069042075,20.93417221667221,10.785714285714285,23.0
177,2,0,12.68138064713065,25.068619352869348,11.25,26.5
177,2,0,12.476706071706074,31.273293928293924,10.75,33.0
177,2,0,12.801992923742922,33.05514993339993,11.857142857142858,34.0
177,2,0,12.197988997113995,25.53534433621934,11.233333333333334,26.5
177,2,0,12.822870115995116,20.177129884004884,11.0,22.0
177,2,0,12.498116661116654,22.271114108114112,10.76923076923077,24.0
177,2,0,12.555786491286485,27.30135636585637,10.857142857142858,29.0
177,2,0,12.39598695748696,23.20401304251304,10.6,25.0
177,2,0,12.305049908424907,25.23341163003663,10.538461538461538,27.0
177,2,0,12.804303779553774,23.92902955377956,11.733333333333334,25.0
177,2,0,12.43453178765679,25.398801545676545,11.333333333333334,26.5
177,2,0,12.844961247086246,22.155038752913754,11.5,23.5
177,2,0,12.445572385947386,23.42109428071928,11.866666666666667,24.0
177,2,0,12.62660865523366,27.206724678099675,11.333333333333334,28.5
177,2,0,13.162164196914203,26.694978660228657,11.857142857142858,28.0
177,2,0,12.950176004551006,22.883157328782328,10.833333333333334,25.0
177,2,0,12.859044427794423,23.07428890553891,11.433333333333334,24.5
177,2,0,12.407698204573203,23.228665431790432,11.136363636363637,24.5
177,2,0,12.480420079920082,21.119579920079918,11.6,22.0
177,2,0,12.26656653069152,23.316766802641816,10.583333333333334,25.0
177,2,0,12.693380022755019,21.949477120102124,10.142857142857142,24.5
177,2,0,12.022049422799421,20.432496031746034,10.454545454545455,22.0
177,2,0,12.31232675657675,23.521006576756584,11.333333333333334,24.5
177,2,0,13.274238566988567,19.8924280996781,11.166666666666666,22.0
177,2,0,12.754038406038408,25.031675879675877,11.785714285714285,26.0
177,2,0,12.674325646575644,23.94105896880897,11.115384615384615,25.5
177,2,0,12.544390318015328,28.255609681984673,11.3,29.5
177,2,0,12.827009143634145,19.172990856365857,11.0,21.0
177,2,0,12.847152306027295,23.219514360639373,10.566666666666666,25.5
177,2,0,12.62924204961704,20.304091283716293,10.933333333333334,22.0
177,2,0,12.827234723609722,19.17276527639028,12.0,20.0
177,2,0,12.543989496614493,23.12267717005217,11.166666666666666,24.5
177,2,0,12.745927655677653,26.320739010989016,10.566666666666666,28.5
177,2,0,12.383625624375615,22.283041042291053,11.166666666666666,23.5
177,2,0,12.621916514041509,23.111416819291826,10.233333333333334,25.5
177,2,0,13.072162656787652,17.927837343212346,12.0,19.0
177,2,0,12.48444246031747,22.248890873015863,10.733333333333334,24.0
177,2,0,12.656670412920409,20.209996253746258,10.866666666666667,22.0
177,2,0,12.713235084360074,20.186764915639927,11.4,21.5
177,2,0,12.885213494838494,26.98145317182817,9.866666666666667,30.0
177,2,0,12.679047660672659,22.054285672660676,10.233333333333334,24.5
177,2,0,12.569276681651683,20.145009032634032,10.214285714285715,22.5
177,2,0,13.06194179431679,25.021391539016545,10.083333333333334,28.0
177,2,0,12.296396561771553,21.626680361305368,10.423076923076923,23.5
177,2,0,12.71385031635032,21.286149683649683,11.0,23.0
177,2,0,12.707618811743801,27.209047854922865,11.916666666666666,28.0
177,2,0,12.826341921966934,27.030800935175925,10.857142857142858,29.0
177,2,0,12.473254176379179,21.260079156954156,10.733333333333334,23.0
177,2,0,12.255003996004007,25.494996003995993,10.75,27.0
177,2,0,12.340456071706061,22.192877261627274,10.533333333333333,24.0
177,2,0,12.74190694028194,21.104246905871907,10.846153846153847,23.0
177,2,0,12.369762681762683,23.27309446109446,10.642857142857142,25.0
177,2,0,12.363212801087807,24.27315083527583,11.636363636363637,25.0
177,2,0,12.54979016816516,24.21944060106561,11.26923076923077,25.5
177,2,0,12.567445471195468,21.015887862137866,10.583333333333334,23.0
177,2,0,13.142617174492182,24.00023996836496,11.142857142857142,26.0
177,2,0,12.742539973914974,19.190793359418358,11.433333333333334,20.5
177,2,0,13.171222416472412,24.895444250194252,11.566666666666666,26.5
177,2,0,12.064179875679883,20.402486790986785,11.466666666666667,21.0
177,2,0,12.5701177017427,21.276036144411147,11.346153846153847,22.5
177,2,0,12.534908827283825,29.265091172716176,10.8,31.0
177,2,0,12.71996031746033,21.013373015873004,10.733333333333334,23.0
177,2,0,12.798629662004663,26.129941766566766,10.928571428571429,28.0
177,2,0,12.75026397213897,22.116402694527697,11.866666666666667,23.0
177,2,0,12.667794996669997,30.19887166999667,10.866666666666667,32.0
177,2,0,12.438539266289277,29.176845349095338,10.615384615384615,31.0
177,2,0,12.31791612554112,30.08208387445888,10.4,32.0
177,2,0,13.060508588633592,23.161713633588633,11.722222222222221,24.5
177,2,0,12.812116480741478,23.054550185925187,10.866666666666667,25.0
177,2,0,12.82527655677655,21.091390109890114,11.416666666666666,22.5
177,2,0,12.892127580752582,20.19120575258075,10.583333333333334,22.5
177,2,0,12.550404123654129,21.23531016206016,10.785714285714285,23.0
177,2,0,12.587838994338986,25.162161005661012,10.75,27.0
177,2,0,12.59106976356977,24.20893023643023,10.8,26.0
177,2,0,12.427351079476084,27.239315587190582,10.666666666666666,29.0
177,2,0,12.627490509490517,23.086795204795198,11.714285714285715,24.0
177,2,0,12.647453810078815,23.152546189921186,11.3,24.5
177,2,0,12.280054431679433,21.136612234987233,10.416666666666666,23.0
177,2,0,13.099869852369856,23.96679681429681,11.066666666666666,26.0
177,2,0,12.669645909645913,28.997020757020753,11.166666666666666,30.5
177,2,0,12.756479908979902,24.32685342435343,11.583333333333334,25.5
177,2,0,12.624345196470205,24.22180864968364,11.846153846153847,25.0
177,2,0,12.557402111777105,26.260779706404712,11.318181818181818,27.5
177,2,0,12.329851634476633,20.253481698856703,10.583333333333334,22.0
177,2,0,12.961265207015217,20.172068126318116,11.133333333333333,22.0
177,2,0,12.395780233655232,25.219604381729383,11.615384615384615,26.0
177,2,0,12.45349977799978,23.14650022200022,11.1,24.5
177,2,0,12.60969398656899,24.056972680097676,10.166666666666666,26.5
177,2,0,12.621857572982575,23.04480909368409,11.666666666666666,24.0
177,2,0,12.679063339438336,21.12093666056166,10.8,23.0
177,2,0,12.739195845820854,24.260804154179148,11.0,26.0
177,2,0,12.855019050394054,20.144980949605944,12.5,20.5
177,2,0,12.231547327672324,23.268452672327676,11.0,24.5
177,2,0,12.658896922521919,23.055388791763797,10.714285714285715,25.0
177,2,0,12.640671411921414,26.0736143023643,10.714285714285715,28.0
177,2,0,12.461416638916642,27.23089105339105,11.192307692307693,28.5
177,2,0,12.719304431679426,20.08069556832057,11.3,21.5
177,2,0,12.794734751359755,22.13859858197358,11.933333333333334,23.0
177,2,0,12.528172258297253,27.328970598845604,10.857142857142858,29.0
177,2,0,12.849405455655457,21.079165972915973,10.928571428571429,23.0
177,2,0,12.682141622266618,21.984525044400048,11.166666666666666,23.5
177,2,0,12.941227675102677,25.058772324897323,12.0,26.0
177,2,0,12.609233127983128,30.083074564324562,10.192307692307693,32.5
177,2,0,12.225199259074259,20.31326227938728,11.038461538461538,21.5
177,2,0,12.850744089244088,22.982589244089247,11.333333333333334,24.5
177,2,0,12.755108544233542,20.244891455766457,12.0,21.0
177,2,0,12.476200896325887,26.166656246531254,11.642857142857142,27.0
177,2,0,12.569969863469867,24.296696803196802,9.866666666666667,27.0
177,2,0,12.586412670662677,23.08025399600399,10.666666666666666,25.0
177,2,0,12.501363275613272,22.165303391053392,10.666666666666666,24.0
177,2,0,12.707424977799981,24.215651945276942,11.923076923076923,25.0
177,2,0,12.448090409590417,22.15190959040958,10.6,24.0
177,2,0,12.407059537684548,23.450083319458308,11.357142857142858,24.5
177,2,0,12.3435501998002,25.323116466866466,10.166666666666666,27.5
177,2,0,12.495959734709746,28.21832597957597,10.714285714285715,30.0
177,2,0,12.770482961482964,20.086659895659892,11.857142857142858,21.0
177,2,0,12.423659909534912,21.243006757131752,11.666666666666666,22.0
177,2,0,12.611175907425903,22.188824092574098,11.3,23.5
177,2,0,12.562344488844484,23.346746420246426,10.90909090909091,25.0
177,2,0,12.84986947774449,26.96831234043733,9.818181818181818,30.0
177,2,0,12.420792984792989,19.37920701520701,10.466666666666665,21.333333333333336
177,2,0,12.62391884504385,23.16179544067044,10.785714285714285,25.0
177,2,0,12.868818764568768,22.13118123543123,11.0,24.0
177,2,0,12.721724317349317,23.211609015984017,11.933333333333334,24.0
177,2,0,13.112029845154838,22.030827297702302,10.642857142857142,24.5
177,2,0,12.726878260628263,22.20645507270507,11.433333333333334,23.5
177,2,0,12.908826048951058,26.305459665334656,11.214285714285714,28.0
177,2,0,12.721078157953151,23.136064699189706,11.357142857142858,24.5
177,2,0,13.02777612665112,22.238890540015547,11.266666666666666,24.0
177,2,0,13.250356782106776,25.949643217893225,11.2,28.0
177,2,0,12.630819499944497,21.23584716672217,11.866666666666667,22.0
177,2,0,12.657422508047507,26.142577491952494,10.8,28.0
177,2,0,12.681769563769564,22.118230436230434,11.3,23.5
177,2,0,12.761893134643135,21.16118378843379,11.923076923076923,22.0
177,2,0,12.632707514707517,27.256181374181374,10.88888888888889,29.0
177,2,0,13.421643328893328,21.978356671106674,11.4,24.0
177,2,0,12.89109672272172,21.19981236818737,11.59090909090909,22.5
177,2,0,12.299535783660787,25.167130883005882,10.133333333333333,27.333333333333336
177,2,0,12.654238233988227,22.114992535242543,11.26923076923077,23.5
177,2,0,12.956073232323233,23.11535533910534,11.571428571428571,24.5
177,2,0,12.693608072483075,20.173058594183594,10.866666666666667,22.0
177,2,0,11.953729381729378,20.379603951603954,9.333333333333334,23.0
177,2,0,12.249190823065838,21.284142510267493,10.033333333333333,23.5
177,2,0,12.699842615717614,23.228728812853817,11.928571428571429,24.0
177,2,0,12.594251887001887,22.048605255855257,11.142857142857142,23.5
177,2,0,12.621618811743815,21.0926669025419,10.714285714285715,23.0
177,2,0,12.996255022755019,24.00374497724498,11.5,25.5
177,2,0,12.541550532800525,31.058449467199473,11.1,32.5
177,2,0,12.532425213675213,24.384241452991454,10.916666666666666,26.0
177,2,0,13.315071109446112,20.951595557220557,11.266666666666666,23.0
177,2,0,12.473043012543013,23.219264679764677,11.192307692307693,24.5
177,2,0,12.538365412365412,20.175920301920304,10.214285714285715,22.5
177,2,0,13.148972166722166,24.101027833277833,11.75,25.5
177,2,0,12.609733225108224,23.236420621045625,10.846153846153847,25.0
177,2,0,12.73820593295593,21.18487099012099,11.423076923076923,22.5
177,2,0,12.587980963480959,24.126304750804756,10.38095238095238,26.333333333333336
177,2,0,12.163904498279495,22.236095501720506,10.9,23.5
177,2,0,12.424211968586963,22.309121364746368,9.733333333333334,25.0
177,2,0,12.683960012210015,25.04937332112332,10.733333333333334,27.0
177,2,0,12.544677530802531,21.147630161505163,12.192307692307693,21.5
177,2,0,12.909723026973028,24.8175497002997,10.727272727272727,27.0
177,2,0,12.6737619047619,23.192904761904767,10.866666666666667,25.0
177,2,0,13.191926753801756,21.03029546842047,11.555555555555557,22.666666666666664
177,2,0,12.400616938616944,19.23574669774669,11.636363636363637,20.0
177,2,0,12.81426379176379,21.9714504939505,11.785714285714285,23.0
177,2,0,12.92488171550671,24.008451617826623,11.433333333333334,25.5
177,2,0,12.06624345099345,19.51708988233988,10.583333333333334,21.0
177,2,0,12.745862318237325,22.120804348429342,11.366666666666667,23.5
177,2,0,12.386333125208125,25.213666874791876,10.6,27.0
177,2,0,12.489166028416028,20.13583397158397,10.625,22.0
177,2,0,12.495474775224775,21.237858558108556,12.233333333333334,21.5
177,2,0,12.747819166944161,27.037895118770123,11.785714285714285,28.0
177,2,0,12.796007256632258,24.27065941003441,12.066666666666666,25.0
177,2,0,12.987890137640138,26.078776529026527,11.066666666666666,28.0
177,2,0,12.735673507048496,22.335755064380074,11.071428571428571,24.0
177,2,0,13.021895854145857,19.069013236763233,11.09090909090909,21.0
177,2,0,12.614987748362758,29.185012251637243,11.3,30.5
177,2,0,13.227978507603513,18.10535482572982,12.333333333333334,19.0
177,2,0,12.501842796092792,23.26738797313798,11.26923076923077,24.5
