initial_weight,weight,none-anonymity,mean-min,max-mean,median-min,max-median
155,3,0,9.034732378732375,18.196036852036855,7.730769230769231,19.5
155,3,0,9.083874403374397,19.1161255966256,7.7,20.5
155,3,0,8.980251998001997,17.241970224220225,7.222222222222222,19.0
155,3,0,8.887349261849254,19.112650738150748,7.5,20.5
155,3,0,9.140983571983579,20.073302142302133,7.214285714285714,22.0
155,3,0,9.315530594405596,16.97018369130869,7.785714285714286,18.5
155,3,0,9.210056845931849,15.98994315406815,7.7,17.5
155,3,0,9.192242479742477,15.16490037740038,8.357142857142858,16.0
155,3,0,9.292186549561556,19.136384879009874,8.428571428571429,20.0
155,3,0,8.932140609390615,18.35357367632367,8.285714285714286,19.0
155,3,0,8.994204254079248,20.139129079254083,7.633333333333333,21.5
155,3,0,9.15974658674658,16.917176490176494,7.576923076923077,18.5
155,3,0,9.296841255966251,20.10315874403375,7.9,21.5
155,3,0,8.98338755688755,17.170458596958603,7.653846153846153,18.5
155,3,0,9.368412823287814,15.07603162115663,8.944444444444445,15.5
155,3,0,9.159722222222221,18.040277777777778,8.2,19.0
155,3,0,8.556888528138526,17.243111471861475,7.3,18.5
155,3,0,8.81783021145521,24.325026931401933,8.142857142857142,25.0
155,3,0,9.240806956931952,18.97347875735376,8.214285714285714,20.0
155,3,0,9.125164405039397,21.1248355949606,7.75,22.5
155,3,0,8.980658577533573,19.23362713675214,7.547619047619048,20.666666666666664
155,3,0,8.978621364746362,17.221378635253636,7.2,19.0
155,3,0,8.966626484626484,17.176230658230658,7.142857142857142,19.0
155,3,0,8.5808021006771,17.490626470751472,7.571428571428571,18.5
155,3,0,9.133626678876682,17.066373321123315,7.7,18.5
155,3,0,8.898004037629043,17.301995962370956,8.2,18.0
155,3,0,8.758438769563766,26.441561230436236,7.533333333333334,27.666666666666664
155,3,0,9.302373723498727,22.313010891885888,8.115384615384615,23.5
155,3,0,9.042856712731716,21.057143287268282,7.433333333333334,22.666666666666664
155,3,0,9.430358363858371,24.954257020757012,7.884615384615385,26.5
155,3,0,8.853444000444004,16.41928327228327,8.272727272727273,17.0
