seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
25,27,4,0,13.952592365967371,11.5,7.915785364219114,2.4285714285714284,46.0,43.57142857142857,16.0,7.8,3.5,2.466666666666667
0,27,4,0,14.432125735375744,12.333333333333334,8.327941926406938,1.9090909090909092,51.0,49.09090909090909,29.0,5.4,3.5,2.466666666666667
75,27,4,0,14.295853021978026,12.0,8.32148346153846,2.125,47.0,44.875,27.0,4.6,3.4,3.2
50,27,4,0,13.73571416083916,12.0,7.362714396853138,2.4166666666666665,49.0,46.583333333333336,20.0,4.2,3.8,3.8666666666666667
26,27,4,0,13.868029137529131,11.0,7.71516160839162,2.1,42.0,39.9,23.0,3.8,2.1,2.8
1,27,4,0,14.052437728937726,12.0,7.958236886446891,2.2,60.0,57.8,8.0,3.6,4.7,2.2
76,27,4,0,14.316375971250967,12.0,8.299074610528345,2.0,53.0,51.0,18.0,4.6,4.9,2.066666666666667
51,27,4,0,14.317633227883231,12.0,8.214697754190267,2.3333333333333335,48.0,45.666666666666664,20.0,6.6,5.3,2.3333333333333335
27,27,4,0,13.924880896880904,12.0,7.79702028638029,2.3333333333333335,56.0,53.666666666666664,26.0,6.2,4.9,3.0
2,27,4,0,14.115551212676223,11.0,8.058336590492836,2.3333333333333335,62.0,59.666666666666664,32.0,8.2,5.5,3.0
77,27,4,0,14.387840090465096,11.5,8.374790855533346,1.7777777777777777,40.0,38.22222222222222,30.0,4.8,3.9,3.0
52,27,4,0,14.027268953268967,12.0,7.952639458319461,2.2666666666666666,46.0,43.733333333333334,14.0,5.0,3.4,3.933333333333333
3,27,4,0,14.075410603285611,12.0,7.909234320540586,2.272727272727273,53.0,50.72727272727273,30.0,6.6,4.5,3.466666666666667
28,27,4,0,14.174810203685205,11.5,8.08990753094128,2.0,60.0,58.0,16.0,4.4,3.1,3.4
78,27,4,0,14.291517205017204,11.0,8.378871063936062,2.1333333333333333,57.0,54.86666666666667,21.0,8.6,3.1,2.1333333333333333
53,27,4,0,13.862903998779007,12.333333333333334,7.353977814407817,1.8,40.0,38.2,24.0,8.8,4.7,3.6666666666666665
4,27,4,0,14.071092685092683,11.5,8.190748258408258,1.4615384615384615,52.0,50.53846153846154,34.0,7.0,4.4,4.2
29,27,4,0,14.202937215562223,12.0,8.064170033438797,2.4,47.0,44.6,14.0,3.4,3.0,3.2
79,27,4,0,14.018548770673771,11.333333333333334,7.9607174465811905,2.4,43.0,40.6,18.0,3.4,2.8,2.4
54,27,4,0,13.799527611277608,11.5,7.427406254301255,2.1666666666666665,43.0,40.833333333333336,21.0,6.0,4.1,2.933333333333333
5,27,4,0,14.299769647019652,11.333333333333334,8.482175068265075,2.6,56.0,53.4,38.0,12.6,3.8,2.8666666666666667
80,27,4,0,14.181217504717502,12.0,7.965025996226,2.0714285714285716,49.0,46.92857142857143,20.0,5.6,4.0,2.533333333333333
30,27,4,0,14.565834637584642,12.0,8.52873218559219,2.142857142857143,44.0,41.857142857142854,13.0,5.8,3.8,2.8
55,27,4,0,13.910138042513047,11.0,7.822918758047524,1.5454545454545454,71.0,69.45454545454545,21.0,5.4,3.9,3.1333333333333333
6,27,4,0,14.617496114996111,11.0,8.636303263403267,2.0,50.0,48.0,46.0,6.2,3.0,2.1333333333333333
81,27,4,0,14.368029498279498,11.5,8.357174926462434,1.8666666666666667,58.0,56.13333333333333,27.0,7.6,2.8,3.933333333333333
56,27,4,0,14.372546162171163,11.0,8.55490427530802,2.0,52.0,50.0,26.0,5.4,6.5,3.4
7,27,4,0,14.79733863358863,12.0,9.129288775113775,2.1,46.0,43.9,39.0,2.2,3.5,3.466666666666667
31,27,4,0,13.813856740481738,11.0,7.700386508352759,2.3333333333333335,54.0,51.666666666666664,31.0,3.6,3.8,4.133333333333334
82,27,4,0,14.186297688422691,12.333333333333334,8.111058034188032,2.1818181818181817,53.0,50.81818181818182,14.0,6.8,2.9,3.533333333333333
8,27,4,0,14.407488386613391,12.0,8.29863487137861,1.9,50.0,48.1,41.0,5.4,4.0,2.4
