seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
0,50,102,12,13.443286810411808,6.0,12.013993184731929,1.0,184.0,183.0,18.0,13.4,3.4,6.0
25,50,102,10,12.77400323287824,7.8,9.853681675824168,1.0,84.0,83.0,7.0,3.6,7.8,2.533333333333333
75,50,102,9,12.655812867687862,6.142857142857143,10.747070408064168,1.0,103.0,102.0,29.0,8.2,5.7,4.6
50,50,102,15,12.655735125985125,7.0,10.552110888555886,1.0,98.0,97.0,1.0,1.6,3.3,3.2666666666666666
1,50,102,12,11.829118853368847,7.0,9.594244886224867,1.0,71.0,70.0,18.0,2.8,2.4,2.8
26,50,102,9,12.521059620934615,7.25,10.16439910547786,1.0,92.0,91.0,8.0,11.2,3.2,7.4
76,50,102,9,12.967913697413687,6.25,11.332339073704066,1.0,116.0,115.0,12.0,3.0,4.6,3.6
51,50,102,15,12.843788197913193,6.285714285714286,11.419040727189476,1.0,140.0,139.0,10.0,2.2,6.0,5.666666666666667
2,50,102,9,12.814032384282385,7.25,10.46446658841159,1.0,88.0,87.0,15.0,4.6,2.8,2.3333333333333335
27,50,102,11,12.100841103341105,6.8,10.201870726495722,1.0,108.0,107.0,7.0,4.2,7.8,3.933333333333333
77,50,102,5,13.078528194028195,7.0,10.499527237762235,1.0,79.0,78.0,29.0,8.4,2.2,6.266666666666667
52,50,102,10,13.019088605838608,6.666666666666667,11.008025486180472,1.0,107.0,106.0,1.0,5.4,2.0,4.333333333333333
3,50,102,12,13.38910361860362,6.666666666666667,11.880441748806767,1.0,108.0,107.0,32.0,2.2,2.2,10.333333333333334
28,50,102,11,12.47556264568765,6.5,10.607549643273401,1.0,125.0,124.0,11.0,12.2,3.5,2.8666666666666667
53,50,102,15,12.328874125874124,6.0,10.394893276723272,1.0,131.0,130.0,12.0,8.2,3.3,6.733333333333333
78,50,102,12,12.717818598068595,6.0,10.812940949883439,1.0,85.0,84.0,4.0,16.2,4.7,5.2
4,50,102,12,12.894665223665227,7.0,11.138332265512272,1.0,91.0,90.0,12.0,5.0,3.9,5.533333333333333
29,50,102,12,13.50078533966033,6.875,11.958409000582744,1.0,109.0,108.0,32.0,3.0,1.7,1.8
54,50,102,10,12.101447330447336,7.0,9.619421515151528,1.0,122.0,121.0,5.0,12.4,3.1,4.0
79,50,102,17,12.77540584415585,6.777777777777778,10.921065476190472,1.0,124.0,123.0,1.0,16.2,3.0,5.533333333333333
5,50,102,15,13.544375901875908,6.3076923076923075,12.338368290043274,1.0,138.0,137.0,43.0,5.0,8.8,4.0
30,50,102,4,13.276094974469972,6.625,11.524452512765022,1.0,105.0,104.0,6.0,3.8,6.6,6.4
55,50,102,10,13.06515931290931,7.0,11.017740144022653,1.0,92.0,91.0,11.0,1.6,9.0,2.4
80,50,102,9,12.513767704517695,7.0,10.36120211843712,1.0,98.0,97.0,6.0,5.2,2.1,5.733333333333333
6,50,102,14,13.7070947940948,6.0,13.053977373737375,1.0,108.0,107.0,77.0,6.6,8.8,4.066666666666666
31,50,102,7,11.704388500388504,7.75,8.45747193473193,1.0,61.0,60.0,27.0,7.2,2.8,2.8
56,50,102,12,13.373444652569647,6.555555555555555,12.207444340381826,1.0,119.0,118.0,55.0,5.0,3.6,7.866666666666666
81,50,102,9,12.907774544899537,6.0,11.449948003801737,1.0,108.0,107.0,40.0,2.4,2.1,5.2
7,50,102,6,13.949357878232874,8.0,11.928539097291596,1.0,111.0,110.0,33.0,6.8,2.7,3.1333333333333333
32,50,102,2,13.742719294594295,7.0,11.972608773865016,1.0,101.0,100.0,53.0,3.6,4.0,5.933333333333334
57,50,102,8,12.19163277000777,6.166666666666667,10.21143395396271,1.0,139.0,138.0,15.0,1.6,3.1,3.4
82,50,102,17,13.022460026085028,6.0,11.858320786435796,1.0,124.0,123.0,12.0,11.4,4.4,7.066666666666666
8,50,102,13,12.721416708291711,6.333333333333333,11.013340095321318,1.0,133.0,132.0,57.0,11.6,7.9,3.066666666666667
33,50,102,6,12.952019619269622,7.0,10.689167051282045,1.0,97.0,96.0,12.0,1.4,8.8,3.933333333333333
58,50,102,10,12.123349053724057,6.285714285714286,10.253285491452994,1.0,67.0,66.0,67.0,5.0,2.4,2.533333333333333
83,50,102,11,13.026910089910086,7.5,10.482777542457566,1.0,81.0,80.0,5.0,5.8,14.5,3.3333333333333335
9,50,102,6,13.558009004884012,6.0,12.63810153388279,1.0,114.0,113.0,15.0,4.8,7.3,3.8666666666666667
34,50,102,17,13.416737456987455,6.6,11.93329581446331,1.0,99.0,98.0,15.0,2.8,5.4,2.6
59,50,102,11,12.680249153624153,6.0,11.245610805722047,1.0,154.0,153.0,10.0,1.6,2.2,5.8
84,50,102,12,12.812471126096124,6.5,10.666602390109897,1.0,79.0,78.0,10.0,8.8,5.3,5.4
35,50,102,6,13.985575382950385,6.0,12.8540553650516,1.0,99.0,98.0,85.0,3.0,2.5,3.8666666666666667
10,50,102,13,12.44983158508158,7.0,10.313172593240076,1.0,82.0,81.0,1.0,14.2,9.5,4.466666666666667
60,50,102,12,12.397262473637465,6.636363636363637,10.367834142662893,1.0,107.0,106.0,12.0,2.2,3.4,5.933333333333334
85,50,102,14,11.884225233100237,6.0,10.347149364801878,1.0,93.0,92.0,1.0,9.4,9.6,2.7333333333333334
36,50,102,9,13.79871056721056,5.5,13.056478049728032,1.0,112.0,111.0,38.0,7.4,1.9,3.066666666666667
11,50,102,12,12.849389527139529,7.0,10.656224035964021,1.0,146.0,145.0,10.0,8.8,6.0,2.2666666666666666
61,50,102,8,13.584002414252417,7.25,11.549258527306028,1.0,104.0,103.0,43.0,3.0,3.2,1.2666666666666666
