seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
0,11,9,3,14.005281746031748,8.666666666666666,10.440505833333315,1.0,66.0,65.0,23.0,8.8,4.6,2.2666666666666666
75,11,9,1,13.652065226440234,9.0,9.747721008158523,1.0,94.0,93.0,23.0,7.4,6.3,2.8
25,11,9,3,13.32482635420135,9.0,9.286039955183703,1.0,62.0,61.0,20.0,3.0,6.1,2.3333333333333335
50,11,9,1,12.507329032079033,8.714285714285714,8.601089548507048,1.0,78.0,77.0,6.0,1.6,6.8,2.8
1,11,9,2,12.823779831279833,9.0,8.281400846375844,1.0,58.0,57.0,9.0,10.4,3.8,2.1333333333333333
76,11,9,1,14.007188949938945,8.0,10.74518340354088,1.0,96.0,95.0,15.0,3.0,4.3,3.066666666666667
51,11,9,3,13.24098348873348,9.0,9.089262383449878,1.0,89.0,88.0,9.0,7.4,5.8,3.1333333333333333
26,11,9,0,12.73305137917638,8.666666666666666,8.409208646076149,1.6,54.0,52.4,9.0,1.6,4.5,3.533333333333333
77,11,9,2,13.508069153069155,9.0,9.306937567987557,1.0,97.0,96.0,34.0,8.4,2.9,2.7333333333333334
2,11,9,3,13.16346144133644,9.0,9.154583396464648,1.0,65.0,64.0,17.0,5.4,6.3,4.733333333333333
52,11,9,4,13.945145507270519,8.5,10.262828568098588,1.0,99.0,98.0,3.0,3.4,2.3,4.266666666666667
27,11,9,2,12.811481740481739,8.333333333333334,8.939599836829826,1.0,77.0,76.0,23.0,3.4,4.0,2.933333333333333
78,11,9,1,14.068634490509485,9.0,9.952642201548464,1.0,68.0,67.0,13.0,6.0,4.9,3.933333333333333
3,11,9,5,13.49918983793983,9.0,9.797274288211787,1.0,63.0,62.0,32.0,4.6,1.6,3.933333333333333
79,11,9,2,13.347440115440127,8.8,9.484715122655127,1.0,85.0,84.0,7.0,9.6,4.8,1.9333333333333333
53,11,9,2,12.725889554889552,8.0,8.853469540459544,1.0,57.0,56.0,14.0,10.8,4.2,5.0
4,11,9,2,13.440980519480524,8.0,9.827362662337663,1.0,88.0,87.0,14.0,7.4,4.9,3.0
28,11,9,3,12.832388777888783,9.0,8.606522858807866,1.0,80.0,79.0,11.0,4.0,8.9,3.6666666666666665
54,11,9,2,13.093449023199021,8.7,9.082550036630055,1.0,59.0,58.0,6.0,5.4,8.7,2.2
80,11,9,4,13.025247627372632,8.5,9.153993327505832,1.0,83.0,82.0,17.0,1.6,5.6,4.466666666666667
55,11,9,3,13.226060564435562,8.5,9.660684877206124,1.0,68.0,67.0,11.0,8.8,6.8,5.4
29,11,9,7,13.615542610167601,8.166666666666666,10.46336358169606,1.0,87.0,86.0,29.0,9.4,3.9,3.933333333333333
5,11,9,4,13.773678210678204,9.0,10.205319509379493,1.0,79.0,78.0,45.0,6.4,7.2,3.533333333333333
81,11,9,1,13.525837787212788,8.0,10.1162803937729,1.0,67.0,66.0,38.0,1.4,2.0,3.7333333333333334
30,11,9,3,13.740489024864019,9.0,9.888872353341101,1.0,73.0,72.0,11.0,10.6,4.8,3.3333333333333335
56,11,9,3,13.722832736707737,8.833333333333334,9.874578745004996,1.0,86.0,85.0,29.0,3.8,5.0,4.266666666666667
6,11,9,2,13.59937143412144,9.5,9.457427424797423,1.0,88.0,87.0,55.0,10.0,1.9,2.533333333333333
57,11,9,3,13.234318140193134,8.333333333333334,9.261300787129535,1.0,73.0,72.0,15.0,8.6,5.2,4.133333333333334
82,11,9,2,14.066990329115324,10.0,9.613270199661436,1.0,91.0,90.0,14.0,9.8,4.7,3.7333333333333334
7,11,9,1,14.506214257964244,8.0,11.678522874902864,1.0,94.0,93.0,50.0,2.2,3.0,2.066666666666667
31,11,9,3,12.557551601176606,7.666666666666667,8.804611419691415,1.0,71.0,70.0,32.0,6.8,4.2,3.6
58,11,9,0,13.23112076812077,8.0,9.532582708402701,1.625,95.0,93.375,47.0,14.8,3.5,1.9333333333333333
83,11,9,2,13.250200937950936,10.0,8.394686648629149,1.0,93.0,92.0,10.0,2.8,4.3,4.133333333333334
8,11,9,3,13.392227092352087,8.2,10.205841619769137,1.0,88.0,87.0,54.0,6.0,4.4,2.6666666666666665
32,11,9,1,14.385046966921971,8.5,10.747766183816175,1.0,103.0,102.0,49.0,3.2,2.6,3.6666666666666665
59,11,9,0,12.96620733433233,8.5,9.114645679320667,1.6,82.0,80.4,7.0,1.6,4.9,6.0
84,11,9,2,13.760862234987231,9.0,9.77855563589187,1.0,82.0,81.0,10.0,10.8,5.7,3.8666666666666667
33,11,9,3,13.380897463647461,9.0,9.694705108780102,1.0,56.0,55.0,12.0,5.4,1.9,4.6
9,11,9,1,13.371043054168059,8.75,9.197655348124094,1.0,68.0,67.0,20.0,19.8,4.3,3.7333333333333334
