seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
60,34,5,0,14.503632145632144,12.0,8.467057962037957,1.5,46.0,44.5,23.0,6.4,4.1,2.8666666666666667
12,34,5,0,14.290319666444669,12.0,8.394841070179826,2.066666666666667,49.0,46.93333333333333,17.0,12.0,3.8,2.066666666666667
86,34,5,0,14.30664314851814,12.0,8.134353323759562,2.0,57.0,55.0,5.0,7.2,3.9,3.6666666666666665
37,34,5,0,14.917683816183807,11.333333333333334,9.229145594405589,2.2222222222222223,63.0,60.77777777777778,23.0,4.0,2.6,3.6
13,34,5,0,14.183620795870802,12.0,8.113755656843166,2.2222222222222223,55.0,52.77777777777778,33.0,6.2,3.1,2.8
61,34,5,0,14.42480685980686,11.5,8.53165837495839,1.9230769230769231,41.0,39.07692307692308,41.0,5.2,4.8,2.6
87,34,5,0,14.357481601731601,11.0,8.38925620129872,1.6666666666666667,50.0,48.333333333333336,21.0,8.2,2.8,2.7333333333333334
38,34,5,0,13.831095473970477,11.0,7.745190756604502,1.5,71.0,69.5,35.0,5.8,4.2,3.066666666666667
14,34,5,0,14.336545135420145,12.0,8.525924481768241,2.4615384615384617,59.0,56.53846153846154,18.0,6.0,3.3,4.133333333333334
88,34,5,0,14.01983875846376,12.0,7.695319318736818,2.357142857142857,45.0,42.642857142857146,16.0,11.0,3.1,2.533333333333333
39,34,5,0,14.45651257076257,12.0,8.244789943389929,1.8571428571428572,40.0,38.142857142857146,37.0,7.4,4.4,2.3333333333333335
62,34,5,0,14.209105089355093,11.333333333333334,8.160624877622377,1.9230769230769231,51.0,49.07692307692308,15.0,6.0,4.4,2.933333333333333
89,34,5,0,14.230407869907863,11.0,8.315673704073708,2.4285714285714284,61.0,58.57142857142857,24.0,4.8,4.0,3.0
15,34,5,0,14.476835372960368,12.0,8.2484865588578,2.25,44.0,41.75,28.0,6.4,2.4,2.7333333333333334
