seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
0,16,1,0,14.53451738539238,13.0,8.089969874708611,2.1666666666666665,43.0,40.833333333333336,29.0,7.6,3.6,2.7333333333333334
25,16,1,0,14.54092039904539,12.5,8.151065919497185,2.142857142857143,41.0,38.857142857142854,27.0,6.4,2.6,2.6666666666666665
50,16,1,0,14.242623765123765,13.0,7.311638611388601,2.5,38.0,35.5,16.0,6.4,3.5,2.533333333333333
75,16,1,0,14.376987276612278,12.5,7.970711451048947,2.4615384615384617,49.0,46.53846153846154,23.0,7.4,4.9,2.933333333333333
51,16,1,0,14.597127997003007,12.5,8.236469922577431,2.357142857142857,44.0,41.642857142857146,18.0,4.4,3.4,3.066666666666667
1,16,1,0,14.378317155067156,12.0,8.010864075091577,1.6428571428571428,47.0,45.357142857142854,13.0,5.4,3.5,2.4
76,16,1,0,14.609446581196586,12.0,8.118687008547008,2.5,42.0,39.5,26.0,6.0,2.7,3.533333333333333
26,16,1,0,14.447066045066046,13.0,7.989228578088579,2.076923076923077,41.0,38.92307692307692,21.0,5.4,2.2,2.6
52,16,1,0,14.4319874986125,12.5,8.005837542873792,2.75,43.0,40.25,16.0,7.2,3.4,3.6
2,16,1,0,14.570068764568777,12.0,8.014040174825173,1.8666666666666667,42.0,40.13333333333333,26.0,6.6,2.4,1.8666666666666667
77,16,1,0,14.639232448107448,13.0,8.164690796703283,2.2857142857142856,42.0,39.714285714285715,30.0,4.0,4.1,2.6
27,16,1,0,14.254367771117767,12.0,7.870981650571648,2.1538461538461537,39.0,36.84615384615385,27.0,7.4,3.2,3.2666666666666666
53,16,1,0,14.099349511599511,12.333333333333334,7.326931782661786,2.090909090909091,42.0,39.90909090909091,23.0,4.6,2.3,3.2
3,16,1,0,14.454572413697411,12.0,8.103159172494168,2.2857142857142856,40.0,37.714285714285715,28.0,5.2,3.6,2.8666666666666667
78,16,1,0,14.642440420690429,12.0,8.311774450826958,2.111111111111111,49.0,46.888888888888886,28.0,8.8,3.4,2.933333333333333
28,16,1,0,14.540353243978245,13.0,7.91408561285936,2.3,51.0,48.7,17.0,7.6,2.8,2.933333333333333
54,16,1,0,14.454199037074028,12.0,8.11667887626262,2.1,39.0,36.9,17.0,5.2,4.4,2.4
4,16,1,0,14.459701229326226,12.0,8.200462918192905,2.0,54.0,52.0,30.0,6.2,3.0,2.6666666666666665
79,16,1,0,14.313501456876457,12.5,7.894713674242435,2.2,40.0,37.8,17.0,4.2,3.5,2.933333333333333
29,16,1,0,14.743700604950611,13.0,8.290669455544457,2.0,44.0,42.0,18.0,3.2,3.9,2.0
55,16,1,0,14.493185758685762,11.5,8.165655820290818,2.4,39.0,36.6,27.0,5.4,2.7,2.466666666666667
5,16,1,0,14.568890318015319,12.5,8.311443229686981,2.2142857142857144,55.0,52.785714285714285,30.0,4.2,3.4,3.7333333333333334
80,16,1,0,14.438492382617383,13.0,7.797817160339661,2.2857142857142856,41.0,38.714285714285715,27.0,4.2,2.4,3.933333333333333
30,16,1,0,14.938735334110326,12.5,8.847687612665114,2.0,41.0,39.0,17.0,5.6,3.0,2.466666666666667
56,16,1,0,14.768968004218005,12.0,8.561756556499068,2.0,42.0,40.0,21.0,11.8,3.9,2.7333333333333334
6,16,1,0,14.657981962481966,13.0,8.327816233766237,2.3,54.0,51.7,42.0,3.6,2.3,2.8666666666666667
81,16,1,0,14.619777750027756,12.5,8.24459557997557,2.3076923076923075,40.0,37.69230769230769,29.0,6.4,4.1,2.933333333333333
31,16,1,0,14.174905497280498,14.0,7.420753609168602,2.1666666666666665,41.0,38.833333333333336,41.0,6.6,4.0,3.6
57,16,1,0,14.365284326784318,12.666666666666666,7.769508322233318,2.0,37.0,35.0,21.0,6.4,4.7,3.533333333333333
7,16,1,0,14.888082736707736,12.0,8.694606364330106,2.3076923076923075,42.0,39.69230769230769,31.0,4.8,3.3,2.6666666666666665
82,16,1,0,14.62163303363303,13.5,8.150530269730275,2.0,47.0,45.0,16.0,5.0,2.0,4.0
32,16,1,0,14.605211371961373,13.5,7.993205537795538,2.3333333333333335,48.0,45.666666666666664,34.0,5.0,2.9,3.533333333333333
58,16,1,0,14.33001906426906,12.0,7.75298284215784,2.066666666666667,37.0,34.93333333333333,28.0,5.4,2.1,2.066666666666667
8,16,1,0,14.534759823509823,13.0,8.075454150016645,2.1666666666666665,45.0,42.833333333333336,37.0,7.8,3.9,3.533333333333333
83,16,1,0,14.510895868020869,12.0,8.030302677461433,2.0,42.0,40.0,18.0,3.0,3.2,2.3333333333333335
33,16,1,0,14.21711524586524,13.0,7.446767431179932,2.4,42.0,39.6,19.0,5.2,3.8,2.7333333333333334
59,16,1,0,14.512189102564102,13.0,7.944883044871808,1.9333333333333333,41.0,39.06666666666667,16.0,7.0,4.7,2.8666666666666667
9,16,1,0,14.553305874680877,12.0,8.227557771534032,2.230769230769231,40.0,37.76923076923077,24.0,7.8,3.1,3.0
84,16,1,0,14.4860256965257,13.0,7.908135845265847,2.2,44.0,41.8,17.0,6.2,3.2,2.8
34,16,1,0,14.483351662226658,12.5,7.905482954129195,1.7142857142857142,48.0,46.285714285714285,26.0,5.2,2.9,3.2
60,16,1,0,14.492010475635468,12.0,8.117030781440786,2.4166666666666665,42.0,39.583333333333336,18.0,4.0,3.6,3.066666666666667
10,16,1,0,14.233700785325784,12.5,7.599343308913312,2.2666666666666666,49.0,46.733333333333334,24.0,6.8,3.3,3.6666666666666665
85,16,1,0,14.361587426462426,12.0,7.935418938977684,1.8333333333333333,36.0,34.166666666666664,22.0,6.2,3.8,2.8
35,16,1,0,14.95825158175157,11.666666666666666,8.930903639693625,2.0,45.0,43.0,24.0,6.0,2.8,3.466666666666667
61,16,1,0,14.626395659895657,12.0,8.280035775890783,2.2857142857142856,51.0,48.714285714285715,39.0,4.8,3.0,2.6666666666666665
11,16,1,0,14.520487484737481,13.0,7.846971013431012,2.0,43.0,41.0,13.0,3.2,2.7,3.4
86,16,1,0,14.573216963591966,12.5,8.317765580946826,2.0,45.0,43.0,12.0,4.0,2.0,2.933333333333333
36,16,1,0,14.892673645798636,12.0,8.598373928155183,1.9333333333333333,41.0,39.06666666666667,28.0,4.0,4.0,2.4
