seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
25,50,40,2,13.378679598179604,8.25,9.483184022644027,1.0,61.0,60.0,16.0,2.8,4.2,3.066666666666667
0,50,40,3,14.153708430458439,8.0,10.752274516317021,1.0,116.0,115.0,36.0,6.6,2.1,3.8
50,50,40,0,12.954172008547005,9.0,8.582621314102562,1.5,111.0,109.5,22.0,2.6,3.2,4.066666666666666
75,50,40,0,13.456531940281941,9.0,9.66618891941394,1.6666666666666667,66.0,64.33333333333333,22.0,10.6,4.7,3.1333333333333333
26,50,40,2,12.654239413364415,10.0,8.130487106643354,1.0,58.0,57.0,8.0,9.0,3.9,3.2666666666666666
51,50,40,0,12.947439962814956,8.0,9.15144615675991,1.5,77.0,75.5,14.0,8.2,5.6,2.533333333333333
1,50,40,4,13.072564657564653,8.333333333333334,9.505225285825288,1.0,85.0,84.0,20.0,2.8,2.0,3.066666666666667
76,50,40,3,13.485297036297029,8.5,9.692252800532795,1.0,75.0,74.0,11.0,10.0,6.4,3.3333333333333335
52,50,40,2,13.845994741369738,9.0,9.8931835232823,1.0,72.0,71.0,8.0,15.0,2.1,4.333333333333333
27,50,40,1,13.155431055056049,9.0,8.94363648088021,1.0,59.0,58.0,44.0,3.4,7.9,2.8
2,50,40,2,13.67032015207016,9.0,9.673385498113007,1.0,75.0,74.0,20.0,3.6,2.8,2.533333333333333
77,50,40,1,13.535808968808972,8.5,9.654699413919435,1.0,87.0,86.0,33.0,10.0,4.2,2.8666666666666667
53,50,40,4,12.595854770229767,8.5,8.578402518315025,1.0,80.0,79.0,13.0,14.0,3.1,5.133333333333334
28,50,40,2,12.754153943278938,8.75,8.630717875874124,1.0,58.0,57.0,10.0,2.4,4.6,7.866666666666666
3,50,40,1,13.515023906648908,8.75,9.691300171078913,1.0,102.0,101.0,32.0,9.2,3.4,3.933333333333333
78,50,40,3,13.408345418470415,9.0,9.490825115440112,1.0,95.0,94.0,13.0,5.6,8.8,2.8
54,50,40,2,12.515625513375515,8.666666666666666,8.12734341630591,1.0,76.0,75.0,14.0,4.0,9.7,2.533333333333333
29,50,40,2,13.670190601065592,8.75,9.86270944264069,1.0,85.0,84.0,31.0,1.8,4.3,2.466666666666667
4,50,40,1,13.446706390831388,8.0,9.92910790986792,1.0,88.0,87.0,14.0,4.8,2.5,6.066666666666666
79,50,40,2,13.543649447774447,8.5,9.326151708846707,1.0,70.0,69.0,6.0,4.4,2.3,2.4
30,50,40,2,14.1708202908203,8.6,10.78205092685093,1.0,93.0,92.0,6.0,3.8,1.7,3.2666666666666666
55,50,40,4,13.222693584193578,9.0,9.316355567765564,1.0,86.0,85.0,9.0,10.2,5.8,2.466666666666667
5,50,40,2,13.561177947052943,9.0,9.636510775474541,1.0,84.0,83.0,40.0,2.0,3.8,4.866666666666666
80,50,40,1,13.475429154179155,10.0,9.095945300532803,1.0,55.0,54.0,13.0,19.6,2.2,3.066666666666667
31,50,40,1,12.625348734598736,8.0,8.257842706460202,1.0,56.0,55.0,33.0,5.0,8.6,3.466666666666667
56,50,40,2,13.848514846264836,9.5,9.500432347097341,1.0,75.0,74.0,32.0,8.2,5.8,4.133333333333334
6,50,40,3,14.344892912642907,9.0,10.478816861471868,1.0,69.0,68.0,69.0,6.6,2.1,1.9333333333333333
81,50,40,4,13.2937776945277,8.166666666666666,9.645668944666452,1.0,79.0,78.0,42.0,6.8,4.5,2.933333333333333
57,50,40,2,13.278117479742482,8.0,9.795338146298128,1.0,85.0,84.0,16.0,10.4,3.0,2.066666666666667
32,50,40,1,13.875936174936172,8.666666666666666,10.383178933288939,1.0,80.0,79.0,48.0,2.8,2.7,6.066666666666666
7,50,40,5,14.506779761904752,8.0,11.682598809523807,1.0,80.0,79.0,53.0,6.2,4.6,2.466666666666667
82,50,40,2,13.224802849927848,9.0,9.250544814213553,1.0,88.0,87.0,16.0,9.4,4.1,5.133333333333334
58,50,40,3,12.493470765345757,8.0,8.550046654734158,1.0,77.0,76.0,48.0,4.4,2.2,1.7333333333333334
33,50,40,1,13.555956959706961,8.333333333333334,9.903449267399267,1.0,68.0,67.0,12.0,7.4,2.8,2.6666666666666665
8,50,40,1,13.377333055833049,9.0,9.001306858141858,1.0,106.0,105.0,53.0,11.0,2.7,1.9333333333333333
83,50,40,0,13.246464618714615,10.0,8.946464664502159,1.2,84.0,82.8,11.0,2.8,5.0,2.466666666666667
59,50,40,3,13.060611721611725,9.0,8.778746263736245,1.0,90.0,89.0,10.0,2.6,3.9,4.2
34,50,40,3,13.736986582861588,9.0,10.066609391996902,1.0,90.0,89.0,16.0,3.4,3.1,5.2
9,50,40,4,13.318292388167393,8.8,9.647959538239563,1.0,74.0,73.0,20.0,5.4,3.2,4.066666666666666
84,50,40,3,13.317787504162508,9.0,9.072015121961364,1.0,63.0,62.0,10.0,8.2,4.5,4.066666666666666
60,50,40,1,13.460348443223447,10.0,9.276778969780223,1.0,74.0,73.0,16.0,6.6,3.4,2.933333333333333
35,50,40,4,14.449926101676107,9.0,10.842719873459876,1.0,66.0,65.0,54.0,10.0,2.9,2.466666666666667
10,50,40,0,12.903811133311137,8.285714285714286,9.086370318015323,1.4,68.0,66.6,14.0,4.0,2.7,3.8
85,50,40,3,12.923445679320675,7.9,9.37129139485514,1.0,77.0,76.0,1.0,4.0,3.7,2.1333333333333333
61,50,40,1,14.271607808857814,9.333333333333334,10.337590611888126,1.0,106.0,105.0,48.0,3.4,4.5,3.8666666666666667
36,50,40,3,14.016897935397944,8.0,10.801009403929413,1.0,73.0,72.0,19.0,3.2,4.2,5.466666666666667
11,50,40,1,13.274618173493174,9.333333333333334,9.192028733349968,1.0,68.0,67.0,5.0,7.4,3.6,4.0
86,50,40,3,12.926358821733825,9.0,9.033312413003669,1.0,90.0,89.0,2.0,4.4,2.9,2.0
62,50,40,3,13.592022324897322,9.0,10.019439045399025,1.0,84.0,83.0,4.0,4.0,6.6,2.533333333333333
37,50,40,1,14.19884153346653,8.166666666666666,10.539144259906754,1.0,68.0,67.0,8.0,7.2,1.5,3.7333333333333334
12,50,40,4,13.944462079587083,8.666666666666666,10.489431923493173,1.0,68.0,67.0,1.0,5.0,4.4,3.6
87,50,40,1,13.32765301365301,9.0,9.745074858474846,1.0,70.0,69.0,41.0,9.4,3.6,3.0
63,50,40,2,13.179603923853922,9.0,9.32029474358973,1.0,67.0,66.0,22.0,9.8,6.1,4.733333333333333
38,50,40,2,12.47070915195916,8.0,8.469422743922753,1.0,52.0,51.0,7.0,3.4,7.3,2.3333333333333335
13,50,40,2,13.68201573426573,8.0,10.250549458041943,1.0,76.0,75.0,27.0,9.0,5.9,2.6666666666666665
88,50,40,2,13.063986513486512,8.833333333333334,9.187322504162502,1.0,74.0,73.0,17.0,2.6,2.6,4.266666666666667
64,50,40,4,11.934020923520928,8.75,7.260845144300134,1.0,49.0,48.0,16.0,4.8,2.7,3.8
39,50,40,2,13.451116300366307,8.555555555555555,9.82260773809524,1.0,84.0,83.0,56.0,7.6,4.4,1.8
14,50,40,4,13.7981332972583,8.2,10.369769357864355,1.0,88.0,87.0,21.0,8.4,3.9,2.2
89,50,40,0,13.823196539571533,9.0,9.617399859446087,1.3333333333333333,103.0,101.66666666666667,30.0,5.6,4.7,3.066666666666667
