seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
50,33,1,0,14.570606046731044,12.5,7.880042437007435,2.4166666666666665,39.0,36.583333333333336,20.0,5.0,2.8,2.466666666666667
25,33,1,0,14.839275765900764,13.5,8.351080780053277,2.076923076923077,45.0,42.92307692307692,24.0,4.2,5.0,2.4
0,33,1,0,14.845888944388944,13.0,8.285241060606056,2.2666666666666666,41.0,38.733333333333334,33.0,6.0,4.6,3.0
75,33,1,0,14.855623556998559,13.5,8.440713856421358,2.375,43.0,40.625,26.0,5.0,3.3,2.533333333333333
1,33,1,0,14.660482531357536,13.5,8.047356071151068,1.9285714285714286,44.0,42.07142857142857,16.0,5.0,4.2,2.8666666666666667
26,33,1,0,14.543687271062275,14.0,7.709290013736268,1.9333333333333333,34.0,32.06666666666667,24.0,4.6,2.9,1.9333333333333333
51,33,1,0,14.733658702408697,13.0,8.197370580808087,2.3333333333333335,40.0,37.666666666666664,28.0,6.6,3.5,2.3333333333333335
76,33,1,0,14.715520243645244,13.0,8.21318698315573,2.142857142857143,43.0,40.857142857142854,25.0,6.2,3.0,2.466666666666667
2,33,1,0,14.807531524031525,14.0,8.068995682650677,2.3076923076923075,35.0,32.69230769230769,28.0,5.8,3.4,2.4
27,33,1,0,14.550753094128089,12.5,8.046352339049843,2.5,38.0,35.5,22.0,4.6,4.4,2.7333333333333334
52,33,1,0,14.685797508047505,12.5,8.131498192918183,2.0714285714285716,37.0,34.92857142857143,19.0,5.0,3.5,3.3333333333333335
77,33,1,0,14.737055416805417,13.0,7.9921679082029025,1.7692307692307692,42.0,40.23076923076923,32.0,4.6,4.0,3.066666666666667
3,33,1,0,15.002055222555219,14.0,8.213170851925865,2.0714285714285716,46.0,43.92857142857143,34.0,7.4,3.5,2.2666666666666666
53,33,1,0,14.441177586302585,13.0,7.692351948190696,2.0,40.0,38.0,23.0,4.6,3.4,2.6666666666666665
28,33,1,0,14.612332958707963,13.0,7.797777007575764,2.0714285714285716,40.0,37.92857142857143,23.0,6.8,4.0,2.3333333333333335
78,33,1,0,14.816837190587194,13.0,8.253509784659787,1.9166666666666667,35.0,33.083333333333336,22.0,3.6,3.8,2.4
4,33,1,0,14.705884351759348,12.0,8.14882177045177,1.8181818181818181,38.0,36.18181818181818,28.0,7.2,2.2,2.6666666666666665
79,33,1,0,14.539040362415353,13.5,7.717311147741143,2.0,42.0,40.0,22.0,7.2,2.6,3.8
54,33,1,0,14.559347693972695,13.0,7.814806644605394,1.8571428571428572,41.0,39.142857142857146,21.0,7.0,3.9,2.6
29,33,1,0,14.718051046176045,13.0,8.164393037518034,2.2857142857142856,35.0,32.714285714285715,18.0,6.2,3.9,3.533333333333333
5,33,1,0,14.74025659063159,12.666666666666666,8.273769068431568,2.4,42.0,39.6,29.0,4.4,3.5,2.4
55,33,1,0,14.628249680874687,13.5,7.993292790404046,2.5,42.0,39.5,23.0,6.2,3.3,2.8666666666666667
80,33,1,0,14.782748223998228,13.5,7.979871633921629,2.066666666666667,39.0,36.93333333333333,25.0,6.0,3.0,2.066666666666667
30,33,1,0,14.841385434010451,13.0,8.247753109390597,2.0833333333333335,40.0,37.916666666666664,18.0,5.8,2.8,2.8
6,33,1,0,14.855197344322342,13.0,8.368218443223434,2.3333333333333335,51.0,48.666666666666664,37.0,5.8,3.4,2.4
56,33,1,0,14.928919497169494,13.0,8.423261647519151,2.1333333333333333,37.0,34.86666666666667,26.0,5.8,4.2,2.6
31,33,1,0,14.489403873903882,13.5,7.60974843600844,2.066666666666667,38.0,35.93333333333333,35.0,7.6,3.3,2.466666666666667
81,33,1,0,14.796258172383162,14.0,8.105592154512157,2.5384615384615383,40.0,37.46153846153846,29.0,5.0,3.2,2.6
7,33,1,0,14.938937160062162,14.5,8.443620326340318,2.4285714285714284,43.0,40.57142857142857,33.0,5.2,4.3,2.466666666666667
57,33,1,0,14.553404831279837,13.0,7.9524051784326675,2.4285714285714284,40.0,37.57142857142857,23.0,5.4,2.8,2.7333333333333334
32,33,1,0,14.640366230991217,13.0,8.128670392107898,2.2857142857142856,39.0,36.714285714285715,20.0,4.4,3.5,2.6666666666666665
82,33,1,0,14.938940781440776,13.0,8.374342704517707,2.0,35.0,33.0,16.0,6.4,2.8,2.7333333333333334
8,33,1,0,14.8134977938728,12.5,8.205986963453208,2.5833333333333335,38.0,35.416666666666664,35.0,5.6,3.6,2.933333333333333
58,33,1,0,14.405734071484073,13.0,7.513609972804975,2.2666666666666666,40.0,37.733333333333334,32.0,8.0,4.1,3.0
33,33,1,0,14.465299284049284,14.0,7.628659694472187,2.0,39.0,37.0,21.0,7.2,3.1,2.466666666666667
83,33,1,0,14.739948593073596,13.0,8.236847808441567,2.1538461538461537,36.0,33.84615384615385,15.0,5.4,4.0,2.6666666666666665
9,33,1,0,14.737698593073594,12.0,8.2463172943723,2.25,37.0,34.75,24.0,6.8,4.1,2.933333333333333
34,33,1,0,14.61917737817738,13.0,8.05512390720392,1.6,47.0,45.4,29.0,5.8,3.8,2.7333333333333334
84,33,1,0,14.7518774975025,13.5,7.935753927322663,2.0,36.0,34.0,20.0,4.2,2.9,2.3333333333333335
59,33,1,0,14.435990689865683,13.0,7.64863495268621,2.066666666666667,39.0,36.93333333333333,20.0,8.0,3.0,2.066666666666667
10,33,1,0,14.482396547896549,12.5,7.795315003330001,2.4,36.0,33.6,24.0,7.2,3.1,2.4
35,33,1,0,15.119445804195804,13.5,8.461304318181808,2.2666666666666666,40.0,37.733333333333334,29.0,4.2,4.0,2.2666666666666666
60,33,1,0,14.578667540792539,13.5,7.8568391870629375,1.9230769230769231,39.0,37.07692307692308,24.0,7.4,2.5,3.1333333333333333
85,33,1,0,14.518266483516486,13.0,7.883194835164837,2.25,40.0,37.75,25.0,7.8,3.5,3.7333333333333334
11,33,1,0,14.64162033799534,12.0,7.916790305944062,2.3333333333333335,39.0,36.666666666666664,18.0,7.4,3.2,3.2666666666666666
36,33,1,0,14.90998182373182,13.0,8.466916540404036,1.9090909090909092,36.0,34.09090909090909,27.0,6.2,3.0,2.533333333333333
61,33,1,0,14.643715534465532,13.5,8.022552196969707,2.5,38.0,35.5,37.0,6.0,2.7,2.8666666666666667
86,33,1,0,14.792761197136196,13.0,8.283587310606046,2.142857142857143,43.0,40.857142857142854,19.0,5.6,4.4,2.6666666666666665
12,33,1,0,14.863538336663323,13.0,8.064638580169836,2.1666666666666665,38.0,35.833333333333336,24.0,5.2,3.1,2.3333333333333335
37,33,1,0,14.969231657231653,14.0,8.459845292485298,2.1,41.0,38.9,24.0,5.6,3.0,3.2
62,33,1,0,14.611126248751246,12.0,8.094986376123863,2.357142857142857,41.0,38.642857142857146,25.0,7.2,3.6,3.3333333333333335
87,33,1,0,14.703007409257404,13.0,8.088233183483187,2.3333333333333335,40.0,37.666666666666664,30.0,5.4,3.3,2.7333333333333334
13,33,1,0,14.93193538406038,13.5,8.613300092823842,2.3,38.0,35.7,22.0,5.0,3.2,3.066666666666667
