seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
50,50,117,14,12.457458832833831,7.0,10.39423266650018,1.0,96.0,95.0,1.0,9.6,2.3,4.466666666666667
0,50,117,11,13.725567571317566,6.5,12.42427116910866,1.0,138.0,137.0,21.0,10.4,1.4,7.8
25,50,117,10,13.289472735597736,6.0,11.54627248001997,1.0,98.0,97.0,8.0,2.0,4.2,3.8666666666666667
75,50,117,8,12.679054639804638,7.0,10.651733882783887,1.0,92.0,91.0,17.0,5.4,7.2,2.066666666666667
1,50,117,13,11.76569049006549,6.0,9.856846420940167,1.0,68.0,67.0,36.0,1.4,2.5,5.6
51,50,117,9,12.89809093684094,6.0,11.532902408702405,1.0,109.0,108.0,12.0,4.2,3.7,3.466666666666667
76,50,117,14,13.104243409368411,6.6,11.647417659701393,1.0,111.0,110.0,12.0,2.0,7.4,2.2666666666666666
26,50,117,13,12.315550629925625,5.5,11.29496947427572,1.0,82.0,81.0,8.0,27.8,2.0,4.066666666666666
2,50,117,12,12.798315351315352,6.545454545454546,11.499209350649345,1.0,87.0,86.0,16.0,7.0,2.4,1.6
52,50,117,18,12.647967685092686,7.0,10.798527467116216,1.0,117.0,116.0,1.0,4.4,2.8,6.066666666666666
77,50,117,11,12.86168226218227,6.0,11.560990642690651,1.0,114.0,113.0,29.0,4.4,4.4,3.7333333333333334
27,50,117,17,12.061034035409039,6.0,10.440212912087908,1.0,91.0,90.0,5.0,4.4,3.7,3.0
3,50,117,14,13.063481157731157,5.333333333333333,12.004776493783982,1.0,96.0,95.0,14.0,1.8,3.4,3.933333333333333
53,50,117,11,12.603244755244758,7.3076923076923075,10.442090023310026,1.0,92.0,91.0,4.0,8.2,1.9,5.466666666666667
78,50,117,15,12.669997391497386,6.5,10.989868205683212,1.0,99.0,98.0,4.0,18.4,2.8,2.466666666666667
28,50,117,12,12.141187090687094,6.0,10.626944820734813,1.0,147.0,146.0,10.0,26.8,8.7,4.8
4,50,117,15,13.122391511266498,6.6,11.379355358252843,1.0,111.0,110.0,5.0,6.6,3.4,2.933333333333333
79,50,117,11,12.684629426129433,7.0,10.74910752136753,1.0,119.0,118.0,4.0,10.2,5.0,5.4
54,50,117,13,12.00840120990121,6.0,9.699554512154506,1.0,103.0,102.0,12.0,5.8,2.4,2.6666666666666665
29,50,117,14,12.955563838938833,7.0,10.979050502691749,1.0,111.0,110.0,18.0,9.2,9.3,3.2666666666666666
5,50,117,14,13.525658785658779,6.2,12.69003584193585,1.0,133.0,132.0,49.0,1.2,6.2,7.666666666666667
55,50,117,14,12.578128732378724,8.0,10.374643817848813,1.0,87.0,86.0,10.0,6.8,4.0,1.6666666666666667
80,50,117,12,12.793442279942276,6.6,11.126904567099585,1.0,122.0,121.0,7.0,5.6,5.5,3.6
30,50,117,13,13.265224664224661,6.0,12.366706581196576,1.0,130.0,129.0,6.0,6.4,3.0,3.6
6,50,117,17,14.00844104506605,6.5,12.893859579448318,1.0,136.0,135.0,136.0,3.0,3.6,3.0
56,50,117,12,13.895895437895438,6.0,13.033631888111886,1.0,131.0,130.0,66.0,5.0,3.4,3.7333333333333334
81,50,117,18,12.694802794427794,6.5,10.895802138000866,1.0,113.0,112.0,55.0,7.6,1.6,5.8
31,50,117,11,11.7388711011211,7.0,9.34051227355977,1.0,100.0,99.0,13.0,4.2,9.3,2.933333333333333
7,50,117,12,13.777880980130986,6.75,12.151598553113553,1.0,156.0,155.0,48.0,3.0,6.5,5.2
57,50,117,18,12.786290182040188,5.75,11.515642944277953,1.0,107.0,106.0,15.0,6.0,2.3,4.933333333333334
82,50,117,10,13.261557886557888,6.0,12.43482323232324,1.0,139.0,138.0,10.0,7.0,4.1,4.0
32,50,117,9,14.180299700299699,7.75,12.013216483516477,1.0,82.0,81.0,42.0,11.8,2.5,3.2666666666666666
8,50,117,11,12.52229793817294,6.2727272727272725,10.783727440337435,1.0,97.0,96.0,52.0,9.6,2.1,3.466666666666667
83,50,117,11,12.530206529581514,5.833333333333333,11.4907078373016,1.0,88.0,87.0,3.0,4.8,2.9,3.6666666666666665
58,50,117,12,12.008506826506828,7.0,9.51203876123877,1.0,90.0,89.0,55.0,14.4,16.1,7.333333333333333
33,50,117,12,12.860147866022867,5.833333333333333,11.766669793262283,1.0,110.0,109.0,14.0,11.0,2.4,4.2
9,50,117,9,13.265361999111999,7.0,11.487380322455317,1.0,89.0,88.0,20.0,2.0,1.2,3.7333333333333334
84,50,117,12,12.749235611610615,6.5,11.104475676545682,1.0,102.0,101.0,9.0,5.6,8.4,2.066666666666667
59,50,117,18,12.570998196248189,6.0,11.084275717893215,1.0,151.0,150.0,11.0,6.0,3.1,3.933333333333333
34,50,117,16,12.570390179265173,6.666666666666667,10.844952068070809,1.0,128.0,127.0,7.0,3.6,3.2,6.133333333333334
10,50,117,13,12.29949234099234,7.0,10.130717758907764,1.0,74.0,73.0,1.0,6.6,6.1,2.6
85,50,117,12,11.574870518370522,7.0,9.356080278610275,1.0,89.0,88.0,1.0,4.6,7.7,6.533333333333333
60,50,117,13,11.873745213120216,7.0,9.737351968864468,1.0,94.0,93.0,12.0,2.8,3.4,3.6
35,50,117,16,13.457723054723058,6.0,12.686162883782874,1.0,111.0,110.0,99.0,3.4,2.3,2.066666666666667
11,50,117,6,12.912333055833052,6.0,11.456810169275164,1.0,112.0,111.0,4.0,4.0,4.8,2.8666666666666667
86,50,117,9,13.263796078921077,6.0,11.65703254870129,1.0,96.0,95.0,2.0,5.0,6.2,2.0
61,50,117,7,13.340130411255409,6.5,11.651268127705613,1.0,128.0,127.0,48.0,4.2,8.0,2.8
36,50,117,9,13.568284701409704,6.5,12.188737679681429,1.0,107.0,106.0,43.0,2.6,2.5,9.4
12,50,117,11,13.560636197136203,6.0,12.22458647186146,1.0,162.0,161.0,1.0,6.0,3.9,6.6
87,50,117,17,12.82094469419469,6.3076923076923075,11.43006152430902,1.0,132.0,131.0,62.0,1.6,5.1,4.266666666666667
62,50,117,15,12.535608405483412,6.333333333333333,10.966256121933618,1.0,88.0,87.0,1.0,5.4,9.1,5.733333333333333
37,50,117,8,13.630260975135968,6.0,12.353825740093244,1.0,89.0,88.0,13.0,3.0,4.8,4.266666666666667
13,50,117,17,12.927050532800537,7.0,10.823878135198154,1.0,110.0,109.0,49.0,17.6,3.7,2.6
88,50,117,14,11.935428252303259,6.0,9.9515417755855,1.0,114.0,113.0,13.0,4.8,10.7,5.866666666666666
63,50,117,14,12.990171203796203,6.5,11.414382617798887,1.0,107.0,106.0,32.0,3.0,4.6,4.866666666666666
38,50,117,8,12.459864163614165,7.0,10.259724374236873,1.0,108.0,107.0,2.0,9.8,10.1,4.533333333333333
14,50,117,14,13.179396950271952,6.0,12.3435075553613,1.0,145.0,144.0,18.0,4.0,3.9,3.0
89,50,117,11,13.645986721611733,6.0,12.386620902014647,1.0,104.0,103.0,30.0,22.4,6.5,2.2
64,50,117,15,11.308369852369854,6.0,9.47098025308026,1.0,150.0,149.0,14.0,4.0,6.4,3.8
39,50,117,12,13.343098151848158,6.0,12.090743577256076,1.0,95.0,94.0,52.0,3.8,3.8,2.933333333333333
15,50,117,12,13.236557817182822,6.75,11.921559867216118,1.0,101.0,100.0,1.0,2.0,1.9,2.1333333333333333
90,50,117,12,11.84209928959929,6.25,9.77781078088578,1.0,100.0,99.0,15.0,2.6,10.4,6.733333333333333
65,50,117,12,13.097637806637806,6.0,12.317704718614715,1.0,117.0,116.0,5.0,6.8,9.8,5.266666666666667
40,50,117,14,11.88212099012099,6.5,10.04776377622377,1.0,104.0,103.0,9.0,2.0,9.6,8.066666666666666
16,50,117,11,12.450881049506044,6.8,10.150085173992679,1.0,63.0,62.0,42.0,6.8,6.1,4.066666666666666
66,50,117,11,11.64346427183927,6.0,9.89449893675769,1.0,133.0,132.0,1.0,5.8,3.7,5.4
41,50,117,12,12.750734335109323,6.0,10.842878045565554,1.0,125.0,124.0,19.0,6.0,6.8,3.7333333333333334
91,50,117,12,11.854559426684421,6.0,10.463203074841802,1.0,116.0,115.0,13.0,2.2,6.5,2.8
17,50,117,13,13.208772338772334,7.0,11.045333100233103,1.0,153.0,152.0,9.0,4.2,2.3,2.933333333333333
67,50,117,9,12.660301157176155,6.2,10.522279949217472,1.0,82.0,81.0,13.0,6.0,1.7,3.8666666666666667
42,50,117,12,12.919402791652793,7.0,10.797776241258749,1.0,78.0,77.0,1.0,6.4,4.3,5.2
92,50,117,5,13.107026126651121,6.0,11.438872558275055,1.0,131.0,130.0,5.0,8.0,3.6,1.8666666666666667
18,50,117,12,12.453585733710726,6.5,10.589765369491612,1.0,125.0,124.0,52.0,5.6,2.7,5.533333333333333
68,50,117,7,12.751824397824397,6.0,11.167053783993772,1.0,101.0,100.0,17.0,3.6,6.9,3.0
43,50,117,14,11.92491938616939,5.5,10.467881701631702,1.0,116.0,115.0,10.0,4.4,12.3,4.866666666666666
93,50,117,7,13.258436716061722,6.4,11.516723684648666,1.0,127.0,126.0,8.0,14.4,2.9,6.4
19,50,117,6,11.92328017815518,7.0,9.444232956210465,1.0,98.0,97.0,24.0,12.2,3.4,4.133333333333334
69,50,117,5,12.707462010212005,7.153846153846154,10.800045134587648,1.0,93.0,92.0,1.0,11.4,6.4,2.7333333333333334
94,50,117,13,12.695503316128322,7.0,10.909396443140183,1.0,123.0,122.0,12.0,9.4,7.1,3.4
44,50,117,8,13.34733662171162,6.375,11.690855498667988,1.0,100.0,99.0,32.0,9.4,3.2,3.4
20,50,117,9,13.83553525641027,7.5,12.005477628205137,1.0,99.0,98.0,11.0,10.6,2.8,3.1333333333333333
70,50,117,12,12.513197261072257,7.0,10.334352392191146,1.0,89.0,88.0,9.0,6.0,3.9,3.8666666666666667
95,50,117,10,11.77132473082473,7.0,9.227759010989013,1.0,92.0,91.0,92.0,1.6,2.9,8.466666666666667
45,50,117,13,13.831622613497604,6.0,12.841492217504703,1.0,140.0,139.0,30.0,7.0,2.5,7.0
21,50,117,7,12.438311216561218,6.75,10.277846603396606,1.0,84.0,83.0,7.0,2.6,1.4,10.866666666666667
71,50,117,12,13.50747322122322,6.0,12.290590799478277,1.0,108.0,107.0,26.0,5.0,4.9,2.7333333333333334
46,50,117,11,13.97776416638917,6.0,13.378729708485952,1.0,118.0,117.0,4.0,1.4,7.0,2.8
96,50,117,13,13.283517746142742,6.0,11.95839488469863,1.0,106.0,105.0,1.0,8.0,3.6,1.9333333333333333
22,50,117,11,12.206583832833836,6.714285714285714,9.704137899600392,1.0,93.0,92.0,12.0,6.4,4.6,4.4
72,50,117,17,13.368968073593075,6.0,12.580877878787872,1.0,110.0,109.0,1.0,6.4,2.4,2.4
47,50,117,14,12.007889263514265,6.333333333333333,10.27407407592407,1.0,107.0,106.0,7.0,8.6,3.2,2.933333333333333
97,50,117,13,12.496745546120541,6.0,10.92566935356311,1.0,90.0,89.0,1.0,1.4,3.3,3.2666666666666666
23,50,117,9,13.175443695193687,7.0,11.246821553169056,1.0,82.0,81.0,41.0,2.8,3.5,2.7333333333333334
73,50,117,13,11.830548007548005,7.0,9.60336571539572,1.0,82.0,81.0,4.0,2.2,7.6,2.3333333333333335
48,50,117,13,12.552849830724831,7.0,10.813070761460764,1.0,94.0,93.0,6.0,9.4,3.3,2.2
98,50,117,9,12.981532509157507,6.333333333333333,11.435895819597063,1.0,125.0,124.0,2.0,5.6,1.7,4.666666666666667
24,50,117,12,12.424007367632367,6.571428571428571,10.709168986430246,1.0,132.0,131.0,1.0,3.0,3.1,3.6666666666666665
74,50,117,11,12.057939144189142,6.9,10.054637104562088,1.0,108.0,107.0,8.0,14.6,2.7,5.0
49,50,117,9,12.9355776029526,5.2,11.899409875679881,1.0,101.0,100.0,6.0,9.2,3.3,4.533333333333333
99,50,117,15,14.09784107559107,7.0,12.410462021312025,1.0,104.0,103.0,70.0,2.0,4.3,5.533333333333333
25,50,117,10,13.289472735597736,6.0,11.54627248001997,1.0,98.0,97.0,8.0,2.0,4.2,3.8666666666666667
75,50,117,8,12.679054639804638,7.0,10.651733882783887,1.0,92.0,91.0,17.0,5.4,7.2,2.066666666666667
50,50,117,14,12.457458832833831,7.0,10.39423266650018,1.0,96.0,95.0,1.0,9.6,2.3,4.466666666666667
100,50,117,9,12.505041944166946,7.0,10.516358586274846,1.0,99.0,98.0,10.0,2.8,4.7,1.6
