seed,initial-weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
25,41,4,0,14.45151887001887,13.0,8.009602639582642,2.357142857142857,51.0,48.642857142857146,17.0,5.2,4.8,3.066666666666667
0,41,4,0,14.498435883560878,12.0,8.241313857808864,2.142857142857143,60.0,57.857142857142854,33.0,6.2,4.2,2.6
75,41,4,0,14.520198371073366,12.0,8.303437335719831,2.4285714285714284,55.0,52.57142857142857,24.0,6.0,4.3,3.1333333333333333
50,41,4,0,14.149747280497275,12.0,7.9907097571872505,2.076923076923077,44.0,41.92307692307692,28.0,4.2,4.1,3.7333333333333334
26,41,4,0,14.188458818958816,11.333333333333334,7.9673483566433685,2.2,41.0,38.8,20.0,3.6,5.0,2.8666666666666667
1,41,4,0,14.274070498945493,11.5,8.022632704240205,1.7333333333333334,40.0,38.266666666666666,10.0,9.0,4.3,1.7333333333333334
76,41,4,0,14.570858044733047,12.0,8.404730725108227,1.6428571428571428,51.0,49.357142857142854,17.0,4.0,4.8,3.6666666666666665
51,41,4,0,14.251688825063827,11.0,8.32858138694639,2.5,43.0,40.5,17.0,7.2,3.9,2.7333333333333334
27,41,4,0,14.229021880896886,11.0,7.9663629329004335,2.066666666666667,44.0,41.93333333333333,20.0,6.6,3.7,2.8
77,41,4,0,14.575248667998675,13.0,8.112276198801206,1.7333333333333334,55.0,53.266666666666666,33.0,4.2,3.4,1.7333333333333334
2,41,4,0,14.536754578754573,13.0,8.321920879120887,2.3,50.0,47.7,33.0,7.2,2.3,3.7333333333333334
52,41,4,0,14.199807761682758,12.0,7.9491595578033,2.4,39.0,36.6,17.0,6.8,3.7,2.533333333333333
28,41,4,0,13.879445665445667,12.0,7.488854554334563,2.0714285714285716,38.0,35.92857142857143,21.0,7.0,5.2,4.066666666666666
78,41,4,0,14.54607104007104,13.0,8.0792813098013,1.9230769230769231,41.0,39.07692307692308,17.0,7.0,5.5,3.466666666666667
3,41,4,0,14.38545775058275,12.333333333333334,8.008506334498822,2.0,45.0,43.0,32.0,6.6,3.4,2.933333333333333
29,41,4,0,14.261358308358313,11.5,7.9052318548118485,2.3076923076923075,49.0,46.69230769230769,15.0,3.6,3.5,2.533333333333333
53,41,4,0,13.941804473304462,11.5,7.799968953823952,1.6666666666666667,47.0,45.333333333333336,21.0,5.0,5.7,4.733333333333333
79,41,4,0,14.17965094627594,13.0,7.653573833943831,2.0,39.0,37.0,21.0,5.6,6.2,2.4
30,41,4,0,14.376557289932284,13.0,8.103567293262284,2.3846153846153846,43.0,40.61538461538461,13.0,7.2,4.7,2.7333333333333334
4,41,4,0,14.455341977466974,11.0,8.579386677350424,2.3333333333333335,53.0,50.666666666666664,23.0,8.6,3.0,3.0
54,41,4,0,14.014673645798645,12.5,7.316646982323231,1.8181818181818181,37.0,35.18181818181818,19.0,5.2,2.9,2.6
80,41,4,0,14.515344558219558,12.5,8.199237574508826,2.2,46.0,43.8,22.0,6.0,2.4,2.2
31,41,4,0,14.202926087801082,12.0,7.540629868881129,2.2142857142857144,43.0,40.785714285714285,34.0,4.0,3.2,2.6
5,41,4,0,14.459308302808306,12.0,8.276254609279611,2.2,46.0,43.8,34.0,4.6,3.3,2.8666666666666667
55,41,4,0,14.218787504162503,12.0,7.93778212162837,2.1333333333333333,58.0,55.86666666666667,19.0,7.2,3.0,2.933333333333333
81,41,4,0,14.201931637806632,13.0,7.733966825396829,1.8888888888888888,46.0,44.111111111111114,30.0,5.8,3.3,2.933333333333333
32,41,4,0,14.243561702186705,12.0,8.082843787185045,2.2222222222222223,47.0,44.77777777777778,33.0,8.2,3.5,2.533333333333333
56,41,4,0,14.373179140304137,11.5,8.238993104950593,2.0,43.0,41.0,24.0,4.4,3.5,2.0
6,41,4,0,14.633387334887328,11.5,8.8002868919969,2.25,57.0,54.75,42.0,5.8,4.1,4.4
33,41,4,0,14.05764470251971,12.5,7.513307790959036,1.8181818181818181,41.0,39.18181818181818,16.0,7.4,5.0,4.866666666666666
82,41,4,0,14.36454692529693,13.0,8.04117750832501,2.066666666666667,43.0,40.93333333333333,16.0,6.0,4.9,2.066666666666667
57,41,4,0,14.357781898656894,12.0,8.110196662087912,2.3333333333333335,49.0,46.666666666666664,26.0,7.8,4.1,3.2666666666666666
