seed,initial_weight,weight,none-anonymity,mean,median,desviation,min,max,range,person1,person5,person10,person15
37,115,1,0,15.124554695304688,13.0,8.63414632117881,2.0,40.0,38.0,24.0,5.4,3.4,2.6666666666666665
25,115,1,0,14.871208222333225,14.0,8.205912599900103,2.1,37.0,34.9,26.0,6.6,2.9,2.4
12,115,1,0,14.935852453102454,12.5,8.464015743145735,2.2857142857142856,40.0,37.714285714285715,20.0,7.0,3.4,3.0
0,115,1,0,14.802854950604942,13.5,8.071373445443454,2.0,42.0,40.0,29.0,4.6,3.9,2.533333333333333
38,115,1,0,14.640863622488627,13.0,7.806040012210016,2.1333333333333333,40.0,37.86666666666667,32.0,6.8,3.7,2.1333333333333333
26,115,1,0,14.792544178044182,13.0,8.061710239760245,2.3333333333333335,42.0,39.666666666666664,23.0,6.6,3.7,2.4
13,115,1,0,14.946134004884007,13.5,8.099018055555554,2.1818181818181817,41.0,38.81818181818182,25.0,6.2,3.9,2.533333333333333
1,115,1,0,14.862415556665553,13.0,8.041577687867694,2.1538461538461537,33.0,30.846153846153847,14.0,5.6,2.7,3.0
39,115,1,0,14.959919136419144,13.5,8.276874394494392,2.2857142857142856,39.0,36.714285714285715,35.0,5.0,3.0,2.466666666666667
27,115,1,0,14.768720890220884,13.5,8.028151198801202,2.0714285714285716,36.0,33.92857142857143,23.0,7.4,3.8,2.1333333333333333
14,115,1,0,14.921756035631033,13.5,8.21011420579421,1.9333333333333333,35.0,33.06666666666667,19.0,4.2,3.1,2.533333333333333
2,115,1,0,14.784461191586185,13.0,8.17545109182484,2.1818181818181817,35.0,32.81818181818182,27.0,5.4,3.0,3.466666666666667
40,115,1,0,14.827885059385055,14.0,7.913345745365754,2.2,37.0,34.8,17.0,7.0,2.9,2.533333333333333
28,115,1,0,14.723034659784664,13.5,7.872038459595952,2.2,36.0,33.8,19.0,6.2,3.3,2.2
3,115,1,0,14.964775752025764,14.5,8.07416752053503,2.3636363636363638,36.0,33.63636363636363,28.0,5.0,2.7,2.533333333333333
15,115,1,0,15.26818446830947,14.0,8.653633978521482,2.2142857142857144,37.0,34.785714285714285,30.0,6.0,3.9,3.066666666666667
41,115,1,0,14.916574966699972,12.5,8.295082529970026,2.2666666666666666,36.0,33.733333333333334,28.0,6.8,3.2,2.2666666666666666
29,115,1,0,14.820113580863588,14.5,7.998087554945062,2.3,38.0,35.7,18.0,5.4,3.0,2.4
4,115,1,0,14.920359917859917,12.0,8.34906527639028,2.090909090909091,36.0,33.90909090909091,28.0,6.4,3.3,2.7333333333333334
