0, 1, 107
1, 1, 42
2, 1, 46
3, 1, 19
4, 1, 36
5, 1, 11
6, 1, 23
7, 1, 34
8, 1, 61
9, 1, 96
10, 1, 75
11, 1, 14
12, 1, 30
13, 1, 43
14, 1, 31
15, 1, 84
16, 1, 86
17, 1, 93
18, 1, 24
19, 1, 120
20, 1, 26
21, 1, 35
22, 1, 13
23, 1, 30
24, 1, 90
25, 1, 37
26, 1, 18
27, 1, 34
28, 1, 65
29, 1, 23
30, 1, 31
31, 1, 31
32, 1, 34
33, 1, 65
34, 1, 65
35, 1, 60
36, 1, 19
37, 1, 50
38, 1, 48
39, 1, 45
40, 1, 66
41, 1, 12
42, 1, 67
43, 1, 38
44, 1, 79
45, 1, 45
46, 1, 47
47, 1, 51
48, 1, 63
49, 1, 77
50, 1, 130
51, 1, 38
52, 1, 59
53, 1, 129
54, 1, 94
55, 1, 105
56, 1, 79
57, 1, 32
58, 1, 40
59, 1, 38
60, 1, 20
61, 1, 87
62, 1, 94
63, 1, 36
64, 1, 60
65, 1, 12
66, 1, 85
67, 1, 69
68, 1, 20
69, 1, 52
70, 1, 40
71, 1, 15
72, 1, 122
73, 1, 39
74, 1, 55
75, 1, 18
76, 1, 44
77, 1, 34
78, 1, 56
79, 1, 34
80, 1, 62
81, 1, 31
82, 1, 23
83, 1, 105
84, 1, 61
85, 1, 58
86, 1, 34
87, 1, 120
88, 1, 101
89, 1, 24
90, 1, 69
91, 1, 33
92, 1, 57
93, 1, 51
94, 1, 74
95, 1, 116
96, 1, 85
97, 1, 64
98, 1, 53
99, 1, 127
100, 1, 63
101, 1, 27
102, 1, 73
103, 1, 40
104, 1, 40
105, 1, 41
106, 1, 10
107, 1, 33
108, 1, 30
109, 1, 37
110, 1, 87
111, 2, 50
112, 2, 108
113, 2, 19
114, 2, 72
115, 2, 48
116, 2, 112
117, 2, 80
118, 2, 101
119, 2, 69
120, 2, 37
121, 2, 78
122, 2, 22
123, 2, 54
124, 2, 104
125, 2, 46
126, 2, 80
127, 2, 58
128, 2, 60
129, 2, 40
130, 2, 29
131, 2, 29
132, 2, 73
133, 2, 25
134, 2, 70
135, 2, 44
136, 2, 97
137, 2, 44
138, 2, 20
139, 2, 32
140, 2, 93
141, 2, 102
142, 2, 91
143, 2, 44
